"ecoregion","metierL4","species"
"Western Mediterranean Sea","LLS","Leucoraja fullonica"
"Adriatic Sea","OTB","Leucoraja fullonica"
"Aegean-Levantine Sea","OTB","Leucoraja fullonica"
"Baltic Sea","OTB","Leucoraja fullonica"
"Barents Sea","OTB","Leucoraja fullonica"
"Bay of Biscay and the Iberian Coast","OTB","Leucoraja fullonica"
"Celtic Seas","OTB","Leucoraja fullonica"
"Faroes","OTB","Leucoraja fullonica"
"Greater North Sea","OTB","Leucoraja fullonica"
"Greenland Sea","OTB","Leucoraja fullonica"
"Icelandic Waters","OTB","Leucoraja fullonica"
"Ionian Sea and the Central Mediterranean Sea","OTB","Leucoraja fullonica"
"Norwegian Sea","OTB","Leucoraja fullonica"
"Oceanic Northeast Atlantic","OTB","Leucoraja fullonica"
"Western Mediterranean Sea","OTB","Leucoraja fullonica"
NA,"OTB","Leucoraja fullonica"
"Adriatic Sea","TBB","Leucoraja fullonica"
"Barents Sea","TBB","Leucoraja fullonica"
"Bay of Biscay and the Iberian Coast","TBB","Leucoraja fullonica"
"Black Sea","TBB","Leucoraja fullonica"
"Celtic Seas","TBB","Leucoraja fullonica"
"Greater North Sea","TBB","Leucoraja fullonica"
"Norwegian Sea","TBB","Leucoraja fullonica"
"Western Mediterranean Sea","TBB","Leucoraja fullonica"
"Adriatic Sea","OTB","Leucoraja melitensis"
"Aegean-Levantine Sea","OTB","Leucoraja melitensis"
"Baltic Sea","OTB","Leucoraja melitensis"
"Barents Sea","OTB","Leucoraja melitensis"
"Bay of Biscay and the Iberian Coast","OTB","Leucoraja melitensis"
"Celtic Seas","OTB","Leucoraja melitensis"
"Faroes","OTB","Leucoraja melitensis"
"Greater North Sea","OTB","Leucoraja melitensis"
"Greenland Sea","OTB","Leucoraja melitensis"
"Icelandic Waters","OTB","Leucoraja melitensis"
"Ionian Sea and the Central Mediterranean Sea","OTB","Leucoraja melitensis"
"Norwegian Sea","OTB","Leucoraja melitensis"
"Oceanic Northeast Atlantic","OTB","Leucoraja melitensis"
"Western Mediterranean Sea","OTB","Leucoraja melitensis"
NA,"OTB","Leucoraja melitensis"
"Adriatic Sea","GND","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","GND","Leucoraja naevus"
"Celtic Seas","GND","Leucoraja naevus"
"Greater North Sea","GND","Leucoraja naevus"
"Ionian Sea and the Central Mediterranean Sea","GND","Leucoraja naevus"
"Western Mediterranean Sea","GND","Leucoraja naevus"
"Adriatic Sea","GNS","Leucoraja naevus"
"Aegean-Levantine Sea","GNS","Leucoraja naevus"
"Azores","GNS","Leucoraja naevus"
"Baltic Sea","GNS","Leucoraja naevus"
"Barents Sea","GNS","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","GNS","Leucoraja naevus"
"Black Sea","GNS","Leucoraja naevus"
"Celtic Seas","GNS","Leucoraja naevus"
"Greater North Sea","GNS","Leucoraja naevus"
"Icelandic Waters","GNS","Leucoraja naevus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Leucoraja naevus"
"Norwegian Sea","GNS","Leucoraja naevus"
"Oceanic Northeast Atlantic","GNS","Leucoraja naevus"
"Western Mediterranean Sea","GNS","Leucoraja naevus"
"Adriatic Sea","GTR","Leucoraja naevus"
"Aegean-Levantine Sea","GTR","Leucoraja naevus"
"Baltic Sea","GTR","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","GTR","Leucoraja naevus"
"Celtic Seas","GTR","Leucoraja naevus"
"Greater North Sea","GTR","Leucoraja naevus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Leucoraja naevus"
"Oceanic Northeast Atlantic","GTR","Leucoraja naevus"
"Western Mediterranean Sea","GTR","Leucoraja naevus"
"Adriatic Sea","OTB","Leucoraja naevus"
"Aegean-Levantine Sea","OTB","Leucoraja naevus"
"Baltic Sea","OTB","Leucoraja naevus"
"Barents Sea","OTB","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","OTB","Leucoraja naevus"
"Celtic Seas","OTB","Leucoraja naevus"
"Faroes","OTB","Leucoraja naevus"
"Greater North Sea","OTB","Leucoraja naevus"
"Greenland Sea","OTB","Leucoraja naevus"
"Icelandic Waters","OTB","Leucoraja naevus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Leucoraja naevus"
"Norwegian Sea","OTB","Leucoraja naevus"
"Oceanic Northeast Atlantic","OTB","Leucoraja naevus"
"Western Mediterranean Sea","OTB","Leucoraja naevus"
NA,"OTB","Leucoraja naevus"
"Barents Sea","OTT","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","OTT","Leucoraja naevus"
"Celtic Seas","OTT","Leucoraja naevus"
"Faroes","OTT","Leucoraja naevus"
"Greater North Sea","OTT","Leucoraja naevus"
"Greenland Sea","OTT","Leucoraja naevus"
"Norwegian Sea","OTT","Leucoraja naevus"
"Oceanic Northeast Atlantic","OTT","Leucoraja naevus"
"Western Mediterranean Sea","OTT","Leucoraja naevus"
"Adriatic Sea","TBB","Leucoraja naevus"
"Barents Sea","TBB","Leucoraja naevus"
"Bay of Biscay and the Iberian Coast","TBB","Leucoraja naevus"
"Black Sea","TBB","Leucoraja naevus"
"Celtic Seas","TBB","Leucoraja naevus"
"Greater North Sea","TBB","Leucoraja naevus"
"Norwegian Sea","TBB","Leucoraja naevus"
"Western Mediterranean Sea","TBB","Leucoraja naevus"
"Adriatic Sea","OTB","Lithognathus mormyrus"
"Aegean-Levantine Sea","OTB","Lithognathus mormyrus"
"Baltic Sea","OTB","Lithognathus mormyrus"
"Barents Sea","OTB","Lithognathus mormyrus"
"Bay of Biscay and the Iberian Coast","OTB","Lithognathus mormyrus"
"Celtic Seas","OTB","Lithognathus mormyrus"
"Faroes","OTB","Lithognathus mormyrus"
"Greater North Sea","OTB","Lithognathus mormyrus"
"Greenland Sea","OTB","Lithognathus mormyrus"
"Icelandic Waters","OTB","Lithognathus mormyrus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Lithognathus mormyrus"
"Norwegian Sea","OTB","Lithognathus mormyrus"
"Oceanic Northeast Atlantic","OTB","Lithognathus mormyrus"
"Western Mediterranean Sea","OTB","Lithognathus mormyrus"
NA,"OTB","Lithognathus mormyrus"
"Adriatic Sea","LLS","Lophius piscatorius"
"Aegean-Levantine Sea","LLS","Lophius piscatorius"
"Azores","LLS","Lophius piscatorius"
"Baltic Sea","LLS","Lophius piscatorius"
"Bay of Biscay and the Iberian Coast","LLS","Lophius piscatorius"
"Black Sea","LLS","Lophius piscatorius"
"Celtic Seas","LLS","Lophius piscatorius"
"Faroes","LLS","Lophius piscatorius"
"Greater North Sea","LLS","Lophius piscatorius"
"Icelandic Waters","LLS","Lophius piscatorius"
"Ionian Sea and the Central Mediterranean Sea","LLS","Lophius piscatorius"
"Oceanic Northeast Atlantic","LLS","Lophius piscatorius"
"Western Mediterranean Sea","LLS","Lophius piscatorius"
"Adriatic Sea","OTB","Lophius piscatorius"
"Aegean-Levantine Sea","OTB","Lophius piscatorius"
"Baltic Sea","OTB","Lophius piscatorius"
"Barents Sea","OTB","Lophius piscatorius"
"Bay of Biscay and the Iberian Coast","OTB","Lophius piscatorius"
"Celtic Seas","OTB","Lophius piscatorius"
"Faroes","OTB","Lophius piscatorius"
"Greater North Sea","OTB","Lophius piscatorius"
"Greenland Sea","OTB","Lophius piscatorius"
"Icelandic Waters","OTB","Lophius piscatorius"
"Ionian Sea and the Central Mediterranean Sea","OTB","Lophius piscatorius"
"Norwegian Sea","OTB","Lophius piscatorius"
"Oceanic Northeast Atlantic","OTB","Lophius piscatorius"
"Western Mediterranean Sea","OTB","Lophius piscatorius"
NA,"OTB","Lophius piscatorius"
"Barents Sea","OTT","Lophius piscatorius"
"Bay of Biscay and the Iberian Coast","OTT","Lophius piscatorius"
"Celtic Seas","OTT","Lophius piscatorius"
"Faroes","OTT","Lophius piscatorius"
"Greater North Sea","OTT","Lophius piscatorius"
"Greenland Sea","OTT","Lophius piscatorius"
"Norwegian Sea","OTT","Lophius piscatorius"
"Oceanic Northeast Atlantic","OTT","Lophius piscatorius"
"Western Mediterranean Sea","OTT","Lophius piscatorius"
"Adriatic Sea","TBB","Lophius piscatorius"
"Barents Sea","TBB","Lophius piscatorius"
"Bay of Biscay and the Iberian Coast","TBB","Lophius piscatorius"
"Black Sea","TBB","Lophius piscatorius"
"Celtic Seas","TBB","Lophius piscatorius"
"Greater North Sea","TBB","Lophius piscatorius"
"Norwegian Sea","TBB","Lophius piscatorius"
"Western Mediterranean Sea","TBB","Lophius piscatorius"
"Adriatic Sea","GNS","Lycodes esmarkii"
"Aegean-Levantine Sea","GNS","Lycodes esmarkii"
"Azores","GNS","Lycodes esmarkii"
"Baltic Sea","GNS","Lycodes esmarkii"
"Barents Sea","GNS","Lycodes esmarkii"
"Bay of Biscay and the Iberian Coast","GNS","Lycodes esmarkii"
"Black Sea","GNS","Lycodes esmarkii"
"Celtic Seas","GNS","Lycodes esmarkii"
"Greater North Sea","GNS","Lycodes esmarkii"
"Icelandic Waters","GNS","Lycodes esmarkii"
"Ionian Sea and the Central Mediterranean Sea","GNS","Lycodes esmarkii"
"Norwegian Sea","GNS","Lycodes esmarkii"
"Oceanic Northeast Atlantic","GNS","Lycodes esmarkii"
"Western Mediterranean Sea","GNS","Lycodes esmarkii"
"Adriatic Sea","OTB","Lycodes esmarkii"
"Aegean-Levantine Sea","OTB","Lycodes esmarkii"
"Baltic Sea","OTB","Lycodes esmarkii"
"Barents Sea","OTB","Lycodes esmarkii"
"Bay of Biscay and the Iberian Coast","OTB","Lycodes esmarkii"
"Celtic Seas","OTB","Lycodes esmarkii"
"Faroes","OTB","Lycodes esmarkii"
"Greater North Sea","OTB","Lycodes esmarkii"
"Greenland Sea","OTB","Lycodes esmarkii"
"Icelandic Waters","OTB","Lycodes esmarkii"
"Ionian Sea and the Central Mediterranean Sea","OTB","Lycodes esmarkii"
"Norwegian Sea","OTB","Lycodes esmarkii"
"Oceanic Northeast Atlantic","OTB","Lycodes esmarkii"
"Western Mediterranean Sea","OTB","Lycodes esmarkii"
NA,"OTB","Lycodes esmarkii"
"Adriatic Sea","LLS","Macrouridae"
"Aegean-Levantine Sea","LLS","Macrouridae"
"Azores","LLS","Macrouridae"
"Baltic Sea","LLS","Macrouridae"
"Bay of Biscay and the Iberian Coast","LLS","Macrouridae"
"Black Sea","LLS","Macrouridae"
"Celtic Seas","LLS","Macrouridae"
"Faroes","LLS","Macrouridae"
"Greater North Sea","LLS","Macrouridae"
"Icelandic Waters","LLS","Macrouridae"
"Ionian Sea and the Central Mediterranean Sea","LLS","Macrouridae"
"Oceanic Northeast Atlantic","LLS","Macrouridae"
"Western Mediterranean Sea","LLS","Macrouridae"
"Adriatic Sea","GTR","Maja squinado"
"Aegean-Levantine Sea","GTR","Maja squinado"
"Baltic Sea","GTR","Maja squinado"
"Bay of Biscay and the Iberian Coast","GTR","Maja squinado"
"Celtic Seas","GTR","Maja squinado"
"Greater North Sea","GTR","Maja squinado"
"Ionian Sea and the Central Mediterranean Sea","GTR","Maja squinado"
"Oceanic Northeast Atlantic","GTR","Maja squinado"
"Western Mediterranean Sea","GTR","Maja squinado"
"Adriatic Sea","GNS","Mammalia"
"Aegean-Levantine Sea","GNS","Mammalia"
"Azores","GNS","Mammalia"
"Baltic Sea","GNS","Mammalia"
"Barents Sea","GNS","Mammalia"
"Bay of Biscay and the Iberian Coast","GNS","Mammalia"
"Black Sea","GNS","Mammalia"
"Celtic Seas","GNS","Mammalia"
"Greater North Sea","GNS","Mammalia"
"Icelandic Waters","GNS","Mammalia"
"Ionian Sea and the Central Mediterranean Sea","GNS","Mammalia"
"Norwegian Sea","GNS","Mammalia"
"Oceanic Northeast Atlantic","GNS","Mammalia"
"Western Mediterranean Sea","GNS","Mammalia"
"Adriatic Sea","GNS","Megaptera novaeangliae"
"Aegean-Levantine Sea","GNS","Megaptera novaeangliae"
"Azores","GNS","Megaptera novaeangliae"
"Baltic Sea","GNS","Megaptera novaeangliae"
"Barents Sea","GNS","Megaptera novaeangliae"
"Bay of Biscay and the Iberian Coast","GNS","Megaptera novaeangliae"
"Black Sea","GNS","Megaptera novaeangliae"
"Celtic Seas","GNS","Megaptera novaeangliae"
"Greater North Sea","GNS","Megaptera novaeangliae"
"Icelandic Waters","GNS","Megaptera novaeangliae"
"Ionian Sea and the Central Mediterranean Sea","GNS","Megaptera novaeangliae"
"Norwegian Sea","GNS","Megaptera novaeangliae"
"Oceanic Northeast Atlantic","GNS","Megaptera novaeangliae"
"Western Mediterranean Sea","GNS","Megaptera novaeangliae"
"Adriatic Sea","GNS","Melanitta"
"Aegean-Levantine Sea","GNS","Melanitta"
"Azores","GNS","Melanitta"
"Baltic Sea","GNS","Melanitta"
"Barents Sea","GNS","Melanitta"
"Bay of Biscay and the Iberian Coast","GNS","Melanitta"
"Black Sea","GNS","Melanitta"
"Celtic Seas","GNS","Melanitta"
"Greater North Sea","GNS","Melanitta"
"Icelandic Waters","GNS","Melanitta"
"Ionian Sea and the Central Mediterranean Sea","GNS","Melanitta"
"Norwegian Sea","GNS","Melanitta"
"Oceanic Northeast Atlantic","GNS","Melanitta"
"Western Mediterranean Sea","GNS","Melanitta"
"Adriatic Sea","GNS","Melanitta fusca"
"Aegean-Levantine Sea","GNS","Melanitta fusca"
"Azores","GNS","Melanitta fusca"
"Baltic Sea","GNS","Melanitta fusca"
"Barents Sea","GNS","Melanitta fusca"
"Bay of Biscay and the Iberian Coast","GNS","Melanitta fusca"
"Black Sea","GNS","Melanitta fusca"
"Celtic Seas","GNS","Melanitta fusca"
"Greater North Sea","GNS","Melanitta fusca"
"Icelandic Waters","GNS","Melanitta fusca"
"Ionian Sea and the Central Mediterranean Sea","GNS","Melanitta fusca"
"Norwegian Sea","GNS","Melanitta fusca"
"Oceanic Northeast Atlantic","GNS","Melanitta fusca"
"Western Mediterranean Sea","GNS","Melanitta fusca"
"Adriatic Sea","GTR","Melanitta fusca"
"Aegean-Levantine Sea","GTR","Melanitta fusca"
"Baltic Sea","GTR","Melanitta fusca"
"Bay of Biscay and the Iberian Coast","GTR","Melanitta fusca"
"Celtic Seas","GTR","Melanitta fusca"
"Greater North Sea","GTR","Melanitta fusca"
"Ionian Sea and the Central Mediterranean Sea","GTR","Melanitta fusca"
"Oceanic Northeast Atlantic","GTR","Melanitta fusca"
"Western Mediterranean Sea","GTR","Melanitta fusca"
"Adriatic Sea","GNS","Melanitta nigra"
"Aegean-Levantine Sea","GNS","Melanitta nigra"
"Azores","GNS","Melanitta nigra"
"Baltic Sea","GNS","Melanitta nigra"
"Barents Sea","GNS","Melanitta nigra"
"Bay of Biscay and the Iberian Coast","GNS","Melanitta nigra"
"Black Sea","GNS","Melanitta nigra"
"Celtic Seas","GNS","Melanitta nigra"
"Greater North Sea","GNS","Melanitta nigra"
"Icelandic Waters","GNS","Melanitta nigra"
"Ionian Sea and the Central Mediterranean Sea","GNS","Melanitta nigra"
"Norwegian Sea","GNS","Melanitta nigra"
"Oceanic Northeast Atlantic","GNS","Melanitta nigra"
"Western Mediterranean Sea","GNS","Melanitta nigra"
"Adriatic Sea","GTR","Melanitta nigra"
"Aegean-Levantine Sea","GTR","Melanitta nigra"
"Baltic Sea","GTR","Melanitta nigra"
"Bay of Biscay and the Iberian Coast","GTR","Melanitta nigra"
"Celtic Seas","GTR","Melanitta nigra"
"Greater North Sea","GTR","Melanitta nigra"
"Ionian Sea and the Central Mediterranean Sea","GTR","Melanitta nigra"
"Oceanic Northeast Atlantic","GTR","Melanitta nigra"
"Western Mediterranean Sea","GTR","Melanitta nigra"
"Adriatic Sea","GTR","Mergus serrator"
"Aegean-Levantine Sea","GTR","Mergus serrator"
"Baltic Sea","GTR","Mergus serrator"
"Bay of Biscay and the Iberian Coast","GTR","Mergus serrator"
"Celtic Seas","GTR","Mergus serrator"
"Greater North Sea","GTR","Mergus serrator"
"Ionian Sea and the Central Mediterranean Sea","GTR","Mergus serrator"
"Oceanic Northeast Atlantic","GTR","Mergus serrator"
"Western Mediterranean Sea","GTR","Mergus serrator"
"Adriatic Sea","GNS","Merlangius merlangus"
"Aegean-Levantine Sea","GNS","Merlangius merlangus"
"Azores","GNS","Merlangius merlangus"
"Baltic Sea","GNS","Merlangius merlangus"
"Barents Sea","GNS","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","GNS","Merlangius merlangus"
"Black Sea","GNS","Merlangius merlangus"
"Celtic Seas","GNS","Merlangius merlangus"
"Greater North Sea","GNS","Merlangius merlangus"
"Icelandic Waters","GNS","Merlangius merlangus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Merlangius merlangus"
"Norwegian Sea","GNS","Merlangius merlangus"
"Oceanic Northeast Atlantic","GNS","Merlangius merlangus"
"Western Mediterranean Sea","GNS","Merlangius merlangus"
"Adriatic Sea","GTR","Merlangius merlangus"
"Aegean-Levantine Sea","GTR","Merlangius merlangus"
"Baltic Sea","GTR","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","GTR","Merlangius merlangus"
"Celtic Seas","GTR","Merlangius merlangus"
"Greater North Sea","GTR","Merlangius merlangus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Merlangius merlangus"
"Oceanic Northeast Atlantic","GTR","Merlangius merlangus"
"Western Mediterranean Sea","GTR","Merlangius merlangus"
"Adriatic Sea","OTB","Merlangius merlangus"
"Aegean-Levantine Sea","OTB","Merlangius merlangus"
"Baltic Sea","OTB","Merlangius merlangus"
"Barents Sea","OTB","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","OTB","Merlangius merlangus"
"Celtic Seas","OTB","Merlangius merlangus"
"Faroes","OTB","Merlangius merlangus"
"Greater North Sea","OTB","Merlangius merlangus"
"Greenland Sea","OTB","Merlangius merlangus"
"Icelandic Waters","OTB","Merlangius merlangus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Merlangius merlangus"
"Norwegian Sea","OTB","Merlangius merlangus"
"Oceanic Northeast Atlantic","OTB","Merlangius merlangus"
"Western Mediterranean Sea","OTB","Merlangius merlangus"
NA,"OTB","Merlangius merlangus"
"Adriatic Sea","OTM","Merlangius merlangus"
"Baltic Sea","OTM","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","OTM","Merlangius merlangus"
"Black Sea","OTM","Merlangius merlangus"
"Celtic Seas","OTM","Merlangius merlangus"
"Faroes","OTM","Merlangius merlangus"
"Greater North Sea","OTM","Merlangius merlangus"
"Icelandic Waters","OTM","Merlangius merlangus"
"Ionian Sea and the Central Mediterranean Sea","OTM","Merlangius merlangus"
"Norwegian Sea","OTM","Merlangius merlangus"
"Oceanic Northeast Atlantic","OTM","Merlangius merlangus"
"Western Mediterranean Sea","OTM","Merlangius merlangus"
"Barents Sea","OTT","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","OTT","Merlangius merlangus"
"Celtic Seas","OTT","Merlangius merlangus"
"Faroes","OTT","Merlangius merlangus"
"Greater North Sea","OTT","Merlangius merlangus"
"Greenland Sea","OTT","Merlangius merlangus"
"Norwegian Sea","OTT","Merlangius merlangus"
"Oceanic Northeast Atlantic","OTT","Merlangius merlangus"
"Western Mediterranean Sea","OTT","Merlangius merlangus"
"Baltic Sea","SDN","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","SDN","Merlangius merlangus"
"Greater North Sea","SDN","Merlangius merlangus"
"Icelandic Waters","SDN","Merlangius merlangus"
"Adriatic Sea","TBB","Merlangius merlangus"
"Barents Sea","TBB","Merlangius merlangus"
"Bay of Biscay and the Iberian Coast","TBB","Merlangius merlangus"
"Black Sea","TBB","Merlangius merlangus"
"Celtic Seas","TBB","Merlangius merlangus"
"Greater North Sea","TBB","Merlangius merlangus"
"Norwegian Sea","TBB","Merlangius merlangus"
"Western Mediterranean Sea","TBB","Merlangius merlangus"
"Adriatic Sea","OTB","Merluccius merluccius"
"Aegean-Levantine Sea","OTB","Merluccius merluccius"
"Baltic Sea","OTB","Merluccius merluccius"
"Barents Sea","OTB","Merluccius merluccius"
"Bay of Biscay and the Iberian Coast","OTB","Merluccius merluccius"
"Celtic Seas","OTB","Merluccius merluccius"
"Faroes","OTB","Merluccius merluccius"
"Greater North Sea","OTB","Merluccius merluccius"
"Greenland Sea","OTB","Merluccius merluccius"
"Icelandic Waters","OTB","Merluccius merluccius"
"Ionian Sea and the Central Mediterranean Sea","OTB","Merluccius merluccius"
"Norwegian Sea","OTB","Merluccius merluccius"
"Oceanic Northeast Atlantic","OTB","Merluccius merluccius"
"Western Mediterranean Sea","OTB","Merluccius merluccius"
NA,"OTB","Merluccius merluccius"
"Adriatic Sea","OTM","Merluccius merluccius"
"Baltic Sea","OTM","Merluccius merluccius"
"Bay of Biscay and the Iberian Coast","OTM","Merluccius merluccius"
"Black Sea","OTM","Merluccius merluccius"
"Celtic Seas","OTM","Merluccius merluccius"
"Faroes","OTM","Merluccius merluccius"
"Greater North Sea","OTM","Merluccius merluccius"
"Icelandic Waters","OTM","Merluccius merluccius"
"Ionian Sea and the Central Mediterranean Sea","OTM","Merluccius merluccius"
"Norwegian Sea","OTM","Merluccius merluccius"
"Oceanic Northeast Atlantic","OTM","Merluccius merluccius"
"Western Mediterranean Sea","OTM","Merluccius merluccius"
"Barents Sea","OTT","Merluccius merluccius"
"Bay of Biscay and the Iberian Coast","OTT","Merluccius merluccius"
"Celtic Seas","OTT","Merluccius merluccius"
"Faroes","OTT","Merluccius merluccius"
"Greater North Sea","OTT","Merluccius merluccius"
"Greenland Sea","OTT","Merluccius merluccius"
"Norwegian Sea","OTT","Merluccius merluccius"
"Oceanic Northeast Atlantic","OTT","Merluccius merluccius"
"Western Mediterranean Sea","OTT","Merluccius merluccius"
"Adriatic Sea","TBB","Merluccius merluccius"
"Barents Sea","TBB","Merluccius merluccius"
"Bay of Biscay and the Iberian Coast","TBB","Merluccius merluccius"
"Black Sea","TBB","Merluccius merluccius"
"Celtic Seas","TBB","Merluccius merluccius"
"Greater North Sea","TBB","Merluccius merluccius"
"Norwegian Sea","TBB","Merluccius merluccius"
"Western Mediterranean Sea","TBB","Merluccius merluccius"
"Adriatic Sea","GTR","Mobula mobular"
"Aegean-Levantine Sea","GTR","Mobula mobular"
"Baltic Sea","GTR","Mobula mobular"
"Bay of Biscay and the Iberian Coast","GTR","Mobula mobular"
"Celtic Seas","GTR","Mobula mobular"
"Greater North Sea","GTR","Mobula mobular"
"Ionian Sea and the Central Mediterranean Sea","GTR","Mobula mobular"
"Oceanic Northeast Atlantic","GTR","Mobula mobular"
"Western Mediterranean Sea","GTR","Mobula mobular"
"Adriatic Sea","LLD","Mobula mobular"
"Aegean-Levantine Sea","LLD","Mobula mobular"
"Azores","LLD","Mobula mobular"
"Baltic Sea","LLD","Mobula mobular"
"Bay of Biscay and the Iberian Coast","LLD","Mobula mobular"
"Black Sea","LLD","Mobula mobular"
"Celtic Seas","LLD","Mobula mobular"
"Greater North Sea","LLD","Mobula mobular"
"Ionian Sea and the Central Mediterranean Sea","LLD","Mobula mobular"
"Oceanic Northeast Atlantic","LLD","Mobula mobular"
"Western Mediterranean Sea","LLD","Mobula mobular"
NA,"LLD","Mobula mobular"
"Adriatic Sea","GNS","Mola mola"
"Aegean-Levantine Sea","GNS","Mola mola"
"Azores","GNS","Mola mola"
"Baltic Sea","GNS","Mola mola"
"Barents Sea","GNS","Mola mola"
"Bay of Biscay and the Iberian Coast","GNS","Mola mola"
"Black Sea","GNS","Mola mola"
"Celtic Seas","GNS","Mola mola"
"Greater North Sea","GNS","Mola mola"
"Icelandic Waters","GNS","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","GNS","Mola mola"
"Norwegian Sea","GNS","Mola mola"
"Oceanic Northeast Atlantic","GNS","Mola mola"
"Western Mediterranean Sea","GNS","Mola mola"
"Adriatic Sea","GTR","Mola mola"
"Aegean-Levantine Sea","GTR","Mola mola"
"Baltic Sea","GTR","Mola mola"
"Bay of Biscay and the Iberian Coast","GTR","Mola mola"
"Celtic Seas","GTR","Mola mola"
"Greater North Sea","GTR","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","GTR","Mola mola"
"Oceanic Northeast Atlantic","GTR","Mola mola"
"Western Mediterranean Sea","GTR","Mola mola"
"Adriatic Sea","LLD","Mola mola"
"Aegean-Levantine Sea","LLD","Mola mola"
"Azores","LLD","Mola mola"
"Baltic Sea","LLD","Mola mola"
"Bay of Biscay and the Iberian Coast","LLD","Mola mola"
"Black Sea","LLD","Mola mola"
"Celtic Seas","LLD","Mola mola"
"Greater North Sea","LLD","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","LLD","Mola mola"
"Oceanic Northeast Atlantic","LLD","Mola mola"
"Western Mediterranean Sea","LLD","Mola mola"
NA,"LLD","Mola mola"
"Adriatic Sea","LLS","Mola mola"
"Aegean-Levantine Sea","LLS","Mola mola"
"Azores","LLS","Mola mola"
"Baltic Sea","LLS","Mola mola"
"Bay of Biscay and the Iberian Coast","LLS","Mola mola"
"Black Sea","LLS","Mola mola"
"Celtic Seas","LLS","Mola mola"
"Faroes","LLS","Mola mola"
"Greater North Sea","LLS","Mola mola"
"Icelandic Waters","LLS","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","LLS","Mola mola"
"Oceanic Northeast Atlantic","LLS","Mola mola"
"Western Mediterranean Sea","LLS","Mola mola"
"Adriatic Sea","OTB","Mola mola"
"Aegean-Levantine Sea","OTB","Mola mola"
"Baltic Sea","OTB","Mola mola"
"Barents Sea","OTB","Mola mola"
"Bay of Biscay and the Iberian Coast","OTB","Mola mola"
"Celtic Seas","OTB","Mola mola"
"Faroes","OTB","Mola mola"
"Greater North Sea","OTB","Mola mola"
"Greenland Sea","OTB","Mola mola"
"Icelandic Waters","OTB","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","OTB","Mola mola"
"Norwegian Sea","OTB","Mola mola"
"Oceanic Northeast Atlantic","OTB","Mola mola"
"Western Mediterranean Sea","OTB","Mola mola"
NA,"OTB","Mola mola"
"Adriatic Sea","OTM","Mola mola"
"Baltic Sea","OTM","Mola mola"
"Bay of Biscay and the Iberian Coast","OTM","Mola mola"
"Black Sea","OTM","Mola mola"
"Celtic Seas","OTM","Mola mola"
"Faroes","OTM","Mola mola"
"Greater North Sea","OTM","Mola mola"
"Icelandic Waters","OTM","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","OTM","Mola mola"
"Norwegian Sea","OTM","Mola mola"
"Oceanic Northeast Atlantic","OTM","Mola mola"
"Western Mediterranean Sea","OTM","Mola mola"
"Adriatic Sea","PS","Mola mola"
"Aegean-Levantine Sea","PS","Mola mola"
"Azores","PS","Mola mola"
"Baltic Sea","PS","Mola mola"
"Bay of Biscay and the Iberian Coast","PS","Mola mola"
"Black Sea","PS","Mola mola"
"Celtic Seas","PS","Mola mola"
"Greater North Sea","PS","Mola mola"
"Icelandic Waters","PS","Mola mola"
"Ionian Sea and the Central Mediterranean Sea","PS","Mola mola"
"Western Mediterranean Sea","PS","Mola mola"
"Baltic Sea","PTB","Mola mola"
"Bay of Biscay and the Iberian Coast","PTB","Mola mola"
"Celtic Seas","PTB","Mola mola"
"Greater North Sea","PTB","Mola mola"
"Adriatic Sea","OTB","Molva dypterygia"
"Aegean-Levantine Sea","OTB","Molva dypterygia"
"Baltic Sea","OTB","Molva dypterygia"
"Barents Sea","OTB","Molva dypterygia"
"Bay of Biscay and the Iberian Coast","OTB","Molva dypterygia"
"Celtic Seas","OTB","Molva dypterygia"
"Faroes","OTB","Molva dypterygia"
"Greater North Sea","OTB","Molva dypterygia"
"Greenland Sea","OTB","Molva dypterygia"
"Icelandic Waters","OTB","Molva dypterygia"
"Ionian Sea and the Central Mediterranean Sea","OTB","Molva dypterygia"
"Norwegian Sea","OTB","Molva dypterygia"
